"name","avg_rental_duration"
"Sports","4.7162162162162162"
"New","4.7460317460317460"
"Documentary","4.7647058823529412"
"Horror","4.8571428571428571"
"Sci-Fi","4.8852459016393443"
"Animation","4.8939393939393939"
"Comedy","4.9310344827586207"
"Action","4.9531250000000000"
"Children","5.0333333333333333"
"Games","5.0655737704918033"
"Classics","5.0701754385964912"
"Drama","5.0806451612903226"
"Foreign","5.1095890410958904"
"Family","5.1739130434782609"
"Music","5.2352941176470588"
"Travel","5.3508771929824561"
